dataset	tool	db	samples	run_elapsed_seconds	resource_max_rss_gb	completeness_species	purity_species	l1_norm_species	completeness_genus	purity_genus	l1_norm_genus	weighted_unifrac	status	paper_scope	tool_version
atcc-hifi	bracken	cami_refseq	1	285.38232707977295	120.90039825439453	1.0	0.09389671361502347	0.5367702995819057	1.0	0.375	0.5310911981787168	0.6625514471484597	complete	supplementary	2.9
atcc-hifi	centrifuger	cami_refseq	1	2689.701011657715	143.4042854309082	1.0	0.21052631578947367	0.3897957461387238	1.0	0.5454545454545454	0.3884699457409838	0.4248663043119781	complete	supplementary	1.1.0-r291
atcc-hifi	chimera	cami_refseq	1	2351.6102833747864	77.56137466430664	0.7	1.0	0.16483957687038292	0.6666666666666666	1.0	0.16483957687038298	0.21940946591010846	complete	supplementary	1.7
atcc-hifi	sylph	cami_refseq	1	154.9290783405304	22.302764892578125	0.85	0.9444444444444444	0.266445145477331	0.8888888888888888	1.0	0.2663594383886232	0.43175882119220405	complete	supplementary	0.8.1
atcc-illumina	bracken	cami_refseq	1	114.67618703842163	121.1551628112793	1.0	0.06535947712418301	0.4601243660914299	1.0	0.18	0.35197693545089526	0.39274539352581034	complete	supplementary	2.9
atcc-illumina	centrifuger	cami_refseq	1	287.26486897468567	141.3782844543457	1.0	0.0322061191626409	0.17979769751723704	1.0	0.08035714285714286	0.1433733290079948	0.16473504057859967	complete	supplementary	1.1.0-r291
atcc-illumina	chimera	cami_refseq	1	460.0702443122864	72.21340942382812	0.7	0.9333333333333333	0.06921859902487464	0.6666666666666666	0.9230769230769231	0.06195565087988715	0.08019886015272898	complete	supplementary	1.7
atcc-illumina	sylph	cami_refseq	1	66.45995736122131	22.248550415039062	0.8	0.9411764705882353	0.09040138386538774	0.8333333333333334	1.0	0.08934524296273008	0.1254300140374383	complete	supplementary	0.8.1
cami-strain-madness-long	bracken	cami_refseq	100	2160.327124595642	126.92764663696289	1.0	0.0011019283746556473	0.5152822966747855	1.0	0.003940332113706727	0.3780060686706732	0.27772489174905823	complete	supplementary	2.9
cami-strain-madness-long	centrifuger	cami_refseq	100	13575.142525196075	144.22858047485352	1.0	0.0010109179134654266	0.5258024156466032	1.0	0.0038356164383561643	0.44958065262422325	0.5396938624947581	complete	supplementary	1.1.0-r291
cami-strain-madness-long	chimera	cami_refseq	100	10464.397116422653	96.30700302124023	0.45	0.42857142857142855	0.18517789953661293	0.42857142857142855	0.6	0.1193740507940235	0.1111927654600035	complete	supplementary	1.7
cami-strain-madness-long	sylph	cami_refseq	100	2103.485461473465	33.20263671875	0.45	0.47368421052631576	0.4079897487584012	0.7857142857142857	0.9166666666666666	0.3444937626416482	0.49402556857019136	complete	supplementary	0.8.1
cami-strain-madness-short	bracken	cami_refseq	100	2313.117253303528	131.1036376953125	1.0	0.0013011515190943985	0.32909078018764754	1.0	0.0042004200420042	0.15684676241760898	0.07188533030561539	complete	supplementary	2.9
cami-strain-madness-short	centrifuger	cami_refseq	100	46035.59794330597	141.27302169799805	1.0	0.045146726862302484	0.6243817899755496	1.0	0.12280701754385964	0.5045343926223599	0.6246074706238794	complete	supplementary	1.1.0-r291
cami-strain-madness-short	chimera	cami_refseq	100	69081.3006207943	72.89142227172852	0.55	0.6875	0.39019338782993146	0.8571428571428571	0.9230769230769231	0.35955352089775605	0.5296701263691174	complete	supplementary	1.7
cami-strain-madness-short	sylph	cami_refseq	100	5337.294982671738	32.01527404785156	0.6	0.6	0.44165230548502227	0.9285714285714286	0.9285714285714286	0.3998256036639154	0.5970853495595801	complete	supplementary	0.8.1
cami2-marine-long	bracken	cami_refseq	10	188.3846926689148	123.18877029418945	0.9475890985324947	0.3263537906137184	1.2194652868310298	0.9828178694158075	0.6620370370370371	0.9396207721571088	0.7248073437439722	complete	supplementary	2.9
cami2-marine-long	centrifuger	cami_refseq	10	1327.8073723316193	142.29428482055664	0.9475890985324947	0.5714285714285714	1.2356756344655189	0.9725085910652921	0.8372781065088757	1.0301715975870136	0.8789228150875309	complete	supplementary	1.1.0-r291
cami2-marine-long	chimera	cami_refseq	10	185.42593836784363	73.63822937011719	0.8825995807127882	0.8336633663366336	1.218942668643233	0.9347079037800687	0.9347079037800687	0.946264979061435	0.7190102636038428	complete	supplementary	1.7
cami2-marine-long	sylph	cami_refseq	10	109.57376527786255	33.30952453613281	0.8658280922431866	0.723292469352014	1.3437821161255605	0.9175257731958762	0.956989247311828	1.0534690905149513	0.9235621417240006	complete	supplementary	0.8.1
cami2-marine-short	bracken	cami_refseq	10	208.57247304916382	123.51326370239258	0.957983193277311	0.10726887791107975	1.2018772986473694	0.9896551724137931	0.2764932562620424	0.9287953333201878	0.7262463827629142	complete	supplementary	2.9
cami2-marine-short	centrifuger	cami_refseq	10	1753.2438180446625	141.59295654296875	0.9516806722689075	0.33730454206999255	1.2198398507003123	0.9758620689655172	0.6835748792270532	1.0091522978396847	0.8642909498835802	complete	supplementary	1.1.0-r291
cami2-marine-short	chimera	cami_refseq	10	435.18734431266785	73.50167846679688	0.8823529411764706	0.8333333333333334	1.2026538035873735	0.9379310344827586	0.9315068493150684	0.9293476907671209	0.7207209178034942	complete	supplementary	1.7
cami2-marine-short	sylph	cami_refseq	10	112.98347926139832	33.12184524536133	0.8697478991596639	0.7353463587921847	1.342675014663361	0.9241379310344827	0.9605734767025089	1.0680074243833844	0.9289232054732808	complete	supplementary	0.8.1
prjna637878-supported19-single-read	bracken	cami_refseq	19	5706.369327783585	123.8577995300293	0.9918109790605546	0.0019306891114685934	1.6245689928172977	0.9972299168975068	0.004928354904199228	1.4308228415963433	1.237702873263269	complete	supplementary	2.9
prjna637878-supported19-single-read	centrifuger	cami_refseq	19	30255.75328373909	141.351318359375	0.9961969439728354	0.009548939584776853	1.4444616176334641	0.9972299168975068	0.02286099215448314	1.2585335657833432	1.0676064678290198	complete	supplementary	1.1.0-r291
prjna637878-supported19-single-read	chimera	cami_refseq	19	52948.60074543953	81.63777160644531	0.7298354119594402	0.10782668631067806	1.5173561764981869	0.8226575363694476	0.152418328308166	1.4022810839697724	1.1806209457224859	complete	supplementary	1.7
prjna637878-supported19-single-read	sylph	cami_refseq	19	2248.869346857071	24.456989288330078	0.6881601970146337	0.11561069427744013	1.4114610435369932	0.8452255500731954	0.1901427952863776	1.2652153749237351	1.0431753300489142	complete	supplementary	0.8.1
zymo-gridion-even	bracken	cami_refseq	1	248.52653741836548	121.56391525268555	0.8	0.004032258064516129	0.6441002491756082	0.8	0.011922503725782414	0.4017753925069987	0.6173010428723882	complete	supplementary	2.9
zymo-gridion-even	centrifuger	cami_refseq	1	1614.7508580684662	142.31201553344727	0.8	0.000580046403712297	1.5460960406389241	0.8	0.0025212732429877086	1.4887061003086939	1.6137418323704837	complete	supplementary	1.1.0-r291
zymo-gridion-even	chimera	cami_refseq	1	554.8650255203247	75.16443634033203	0.6	0.42857142857142855	1.0226496971843415	0.8	0.8	0.5193357086243567	0.6868829016757089	complete	supplementary	1.7
zymo-gridion-even	sylph	cami_refseq	1	105.77929735183716	23.316505432128906	0.5	0.7142857142857143	1.0288384343542631	0.7	1.0	0.5488384343542632	0.8819667604550393	complete	supplementary	0.8.1
zymo-gridion-log	bracken	cami_refseq	1	241.73058485984802	121.51974487304688	0.8	0.0056777856635912	0.1940435678223689	0.8	0.01556420233463035	0.19127828829894775	0.2038758937135765	complete	supplementary	2.9
zymo-gridion-log	centrifuger	cami_refseq	1	2018.1987595558167	142.3912353515625	0.8	0.0005509262447489842	1.282688833659421	0.8	0.0024775472282440383	1.2806244423298643	1.4323991035048425	complete	supplementary	1.1.0-r291
zymo-gridion-log	chimera	cami_refseq	1	486.52625131607056	74.64798736572266	0.4	0.4444444444444444	0.2148603236537058	0.5	0.8333333333333334	0.20216094277006358	0.15760805486650226	complete	supplementary	1.7
zymo-gridion-log	sylph	cami_refseq	1	116.30527067184448	23.317100524902344	0.3	0.6	0.21810911824029025	0.5	1.0	0.19954663362905992	0.15212742817017236	complete	supplementary	0.8.1
zymo-promethion-even	bracken	cami_refseq	1	1739.5034284591675	124.32712173461914	0.8	0.0005295558350433574	0.6399952029038255	0.8	0.002394492666866208	0.39682704738447905	0.5987700429608677	complete	supplementary	2.9
zymo-promethion-even	centrifuger	cami_refseq	1	20336.27908062935	143.9062614440918	0.8	0.0030476190476190477	1.926536453608272	0.8	0.009489916963226572	1.7768235106073755	1.4920302119049247	complete	supplementary	1.1.0-r291
zymo-promethion-even	chimera	cami_refseq	1	5398.8862388134	75.22595596313477	0.6	0.42857142857142855	1.0279497708388354	0.8	0.8	0.5152152108756102	0.6508687482288465	complete	supplementary	1.7
zymo-promethion-even	sylph	cami_refseq	1	820.4193871021271	34.48734664916992	0.5	0.7142857142857143	1.0114793242128046	0.7	1.0	0.5314793242128045	0.8587689382941366	complete	supplementary	0.8.1
zymo-promethion-log	bracken	cami_refseq	1	3246.877781867981	124.71983337402344	0.8	0.0005660110372152257	0.194002498578906	0.8	0.002466851680542707	0.19157445934429923	0.2351341883596892	complete	supplementary	2.9
zymo-promethion-log	centrifuger	cami_refseq	1	20472.63083410263	142.91732788085938	0.8	0.0031885213232363493	1.9527129016780391	0.8	0.009445100354191263	1.907987140659938	2.0075291564082027	complete	supplementary	1.1.0-r291
zymo-promethion-log	chimera	cami_refseq	1	5362.2530336380005	74.62668228149414	0.4	0.4444444444444444	0.21441815645040543	0.5	0.8333333333333334	0.20061699826810103	0.16452367885573377	complete	supplementary	1.7
zymo-promethion-log	sylph	cami_refseq	1	769.7288074493408	34.4865837097168	0.4	0.6666666666666666	0.21816140296348965	0.6	1.0	0.20108828140472576	0.15700672411056654	complete	supplementary	0.8.1
