tool	metric	threshold_expected_c2_reads	n_positive	n_negative	positive_mean	negative_mean	positive_median	negative_median	auc_c2_positive_vs_zero	auc_ci_low	auc_ci_high	chimera_minus_tool_auc	difference_ci_low	difference_ci_high	difference_p_value	bootstrap_iterations	bootstrap_seed
Chimera	raw_candidate_reads_per_million	0	137	619	1360.776156	978.168311	1075.333333	999.000000	0.613186	0.565968	0.661846					10000	20260710
Chimera	raw_candidate_reads_per_million	500	50	619	1961.520000	978.168311	1353.000000	999.000000	0.807351	0.730759	0.881537					10000	20260710
Chimera	raw_candidate_reads_per_million	1000	38	619	2238.552632	978.168311	1864.833333	999.000000	0.880941	0.804736	0.949665					10000	20260710
Chimera	raw_candidate_reads_per_million	2000	26	619	2679.743590	978.168311	2221.833333	999.000000	0.944731	0.884925	0.986268					10000	20260710
Chimera	raw_candidate_reads_per_million	5000	12	619	3758.027778	978.168311	2481.000000	999.000000	0.938072	0.817178	0.999461					10000	20260710
Chimera	audited_c2_supported_reads_per_million	0	137	619	464.399027	74.488525	130.333333	44.000000	0.830106	0.792157	0.865777					10000	20260710
Chimera	audited_c2_supported_reads_per_million	500	50	619	1015.660000	74.488525	491.333333	44.000000	0.966300	0.950952	0.979451					10000	20260710
Chimera	audited_c2_supported_reads_per_million	1000	38	619	1267.956140	74.488525	773.666667	44.000000	0.981358	0.970368	0.990520					10000	20260710
Chimera	audited_c2_supported_reads_per_million	2000	26	619	1681.358974	74.488525	996.666667	44.000000	0.992357	0.985771	0.997452					10000	20260710
Chimera	audited_c2_supported_reads_per_million	5000	12	619	2784.027778	74.488525	1615.666667	44.000000	0.995019	0.985730	1.000000					10000	20260710
Chimera	audited_strict_c2_best_reads_per_million	0	137	619	231.503650	22.310408	61.666667	13.666667	0.880753	0.848036	0.910535					10000	20260710
Chimera	audited_strict_c2_best_reads_per_million	500	50	619	546.386667	22.310408	290.500000	13.666667	0.987771	0.979855	0.994071					10000	20260710
Chimera	audited_strict_c2_best_reads_per_million	1000	38	619	685.315789	22.310408	364.833333	13.666667	0.994877	0.990073	0.998448					10000	20260710
Chimera	audited_strict_c2_best_reads_per_million	2000	26	619	904.769231	22.310408	578.166667	13.666667	0.998198	0.995588	0.999876					10000	20260710
Chimera	audited_strict_c2_best_reads_per_million	5000	12	619	1498.361111	22.310408	815.333333	13.666667	0.998654	0.995153	1.000000					10000	20260710
Centrifuger	raw_candidate_reads_per_million	0	137	619	319.929440	240.319196	277.333333	227.333333	0.630591	0.578608	0.681916	-0.017405	-0.066349	0.031657	0.481352	10000	20260710
Centrifuger	raw_candidate_reads_per_million	500	50	619	419.086667	240.319196	365.833333	227.333333	0.737092	0.656103	0.816882	0.070258	0.001663	0.138693	0.0433957	10000	20260710
Centrifuger	raw_candidate_reads_per_million	1000	38	619	465.736842	240.319196	385.333333	227.333333	0.799486	0.720920	0.876436	0.081456	0.007161	0.156535	0.029997	10000	20260710
Centrifuger	raw_candidate_reads_per_million	2000	26	619	520.756410	240.319196	424.000000	227.333333	0.846123	0.762239	0.919631	0.098608	0.003820	0.195881	0.0419958	10000	20260710
Centrifuger	raw_candidate_reads_per_million	5000	12	619	666.388889	240.319196	615.666667	227.333333	0.905493	0.783046	0.983577	0.032579	-0.136312	0.202208	0.708329	10000	20260710
Centrifuger	audited_c2_supported_reads_per_million	0	137	619	199.924574	125.554961	150.666667	116.333333	0.661174	0.609969	0.711243	0.168933	0.128309	0.210577	0.00019998	10000	20260710
Centrifuger	audited_c2_supported_reads_per_million	500	50	619	301.780000	125.554961	248.166667	116.333333	0.803974	0.727689	0.875622	0.162326	0.098544	0.230178	0.00019998	10000	20260710
Centrifuger	audited_c2_supported_reads_per_million	1000	38	619	346.701754	125.554961	268.166667	116.333333	0.873012	0.806095	0.933956	0.108345	0.052779	0.169628	0.00019998	10000	20260710
Centrifuger	audited_c2_supported_reads_per_million	2000	26	619	402.769231	125.554961	322.333333	116.333333	0.920716	0.865973	0.967348	0.071642	0.026282	0.126073	0.00019998	10000	20260710
Centrifuger	audited_c2_supported_reads_per_million	5000	12	619	552.944444	125.554961	485.833333	116.333333	0.958939	0.888732	0.997173	0.036080	-0.002962	0.107904	0.20318	10000	20260710
Centrifuger	audited_strict_c2_best_reads_per_million	0	137	619	173.019465	103.005442	125.000000	95.666667	0.668697	0.618076	0.718088	0.212056	0.169267	0.256255	0.00019998	10000	20260710
Centrifuger	audited_strict_c2_best_reads_per_million	500	50	619	270.386667	103.005442	223.333333	95.666667	0.816494	0.742730	0.885316	0.171276	0.106672	0.240454	0.00019998	10000	20260710
Centrifuger	audited_strict_c2_best_reads_per_million	1000	38	619	312.526316	103.005442	241.166667	95.666667	0.884470	0.821444	0.942205	0.110407	0.054756	0.170309	0.00019998	10000	20260710
Centrifuger	audited_strict_c2_best_reads_per_million	2000	26	619	365.769231	103.005442	301.333333	95.666667	0.927457	0.873305	0.972598	0.070741	0.025910	0.124799	0.00019998	10000	20260710
Centrifuger	audited_strict_c2_best_reads_per_million	5000	12	619	506.222222	103.005442	433.666667	95.666667	0.954900	0.873452	0.998115	0.043753	0.001616	0.125740	0.00059994	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	0	137	619	79.598540	70.806337	68.000000	65.666667	0.532481	0.483096	0.581507	0.080705	0.028707	0.132797	0.00179982	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	500	50	619	95.160000	70.806337	79.833333	65.666667	0.604087	0.522775	0.685348	0.203263	0.122778	0.283716	0.00019998	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	1000	38	619	104.263158	70.806337	89.666667	65.666667	0.650944	0.566827	0.734780	0.229997	0.143856	0.320412	0.00019998	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	2000	26	619	114.692308	70.806337	103.500000	65.666667	0.703741	0.602610	0.796200	0.240990	0.136508	0.351250	0.00019998	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	5000	12	619	130.416667	70.806337	118.666667	65.666667	0.761712	0.620152	0.879916	0.176360	0.027868	0.346207	0.0133987	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	0	137	619	78.895377	70.590954	67.666667	65.666667	0.529569	0.480233	0.578641	0.300538	0.251500	0.349062	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	500	50	619	94.120000	70.590954	78.500000	65.666667	0.600937	0.519673	0.682133	0.365363	0.288464	0.440408	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	1000	38	619	103.070175	70.590954	89.166667	65.666667	0.647075	0.562175	0.731295	0.334283	0.253294	0.415634	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	2000	26	619	113.294872	70.590954	101.833333	65.666667	0.700106	0.598604	0.792847	0.292252	0.200478	0.392291	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	5000	12	619	128.805556	70.590954	115.666667	65.666667	0.757135	0.615776	0.877157	0.237884	0.119681	0.378704	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	0	137	619	78.391727	70.516640	67.666667	65.333333	0.527310	0.477936	0.576330	0.353443	0.300844	0.403972	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	500	50	619	93.093333	70.516640	78.166667	65.333333	0.596688	0.515376	0.678192	0.391082	0.312225	0.469455	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	1000	38	619	101.842105	70.516640	88.500000	65.333333	0.642292	0.556966	0.726385	0.352585	0.269724	0.436508	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	2000	26	619	111.794872	70.516640	99.166667	65.333333	0.694948	0.592483	0.788557	0.303250	0.209890	0.405281	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	5000	12	619	126.916667	70.516640	112.333333	65.333333	0.751212	0.608372	0.873856	0.247442	0.125335	0.390214	0.00019998	10000	20260710
